Municipio,codigo_dane,Departamento,hurtos_totales_promedio,hurtos_auto_promedio,hurtos_moto_promedio,recuperacion_total,captura_total,proporcion_motos,latitud,longitud,tasa_recuperacion,tasa_captura,categoria_hurtos,categoria_recuperacion,cluster_kmeans_geo1_robusto_limpio_id,cluster_kmeans_geo1_robusto_limpio_label,cluster_kmeans_geo1_robusto_limpio_orden
COMBITA,15204000,BOYACA,20,9,11,44,9,0.55,5.634545,-73.323957,2.2,0.45,Moderado,Muy Buena,3,"Cluster de baja intensidad delictiva, alta recuperacion y predominio de automotores",8.0
CONCEPCION,5206000,ANTIOQUIA,20,1,19,20,4,0.9473684210526316,6.394348,-75.257587,1.0,0.2,Moderado,Mala,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
CONCEPCION,5206000,SANTANDER,7,2,5,9,0,0.7142857142857143,6.394348,-75.257587,1.2857142857142858,0.0,Leve,Buena,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
CONCORDIA,5209000,ANTIOQUIA,78,12,66,93,12,0.8486842105263158,6.045738,-75.908448,1.1923076923076923,0.1538461538461538,Alto,Buena,0 (sub 1),"Cluster de intensidad delictiva media-alta, recuperacion media-baja y predominio de motos",4.0
CONCORDIA,5209000,MAGDALENA,3,0,3,10,1,1.0,6.045738,-75.908448,3.333333333333333,0.3333333333333333,Leve,Muy Buena,0 (sub 1),"Cluster de intensidad delictiva media-alta, recuperacion media-baja y predominio de motos",4.0
CONDOTO,27205000,CHOCO,17,0,17,25,1,1.0,5.091003,-76.650683,1.4705882352941178,0.0588235294117647,Moderado,Buena,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
CONFINES,68209000,SANTANDER,1,0,1,11,0,1.0,6.357327000000001,-73.240554,11.0,0.0,Leve,Muy Buena,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
CONSACA,52207000,NARINO,53,5,48,68,0,0.8936170212765957,1.2078540000000002,-77.46613600000002,1.2830188679245282,0.0,Alto,Buena,4,"Cluster de intensidad delictiva media, alta recuperacion y predominio de motos",5.0
CONTADERO,52210000,NARINO,63,15,48,71,6,0.7916666666666666,0.910458,-77.549409,1.126984126984127,0.0952380952380952,Alto,Buena,4,"Cluster de intensidad delictiva media, alta recuperacion y predominio de motos",5.0
CONTRATACION,68211000,SANTANDER,0,0,0,2,0,,6.290561,-73.474426,,,Leve,,,,
CONVENCION,54206000,NORTE DE SANTANDER,174,66,108,97,1,0.6234939759036144,8.470374,-73.3372,0.5574712643678161,0.0057471264367816,Muy Alto,Grave,0 (sub 1),"Cluster de intensidad delictiva media-alta, recuperacion media-baja y predominio de motos",4.0
COPACABANA,5212000,ANTIOQUIA,1752,456,1296,653,68,0.7361209127264172,6.348557,-75.509384,0.3727168949771689,0.0388127853881278,Muy Alto,Grave,2,"Cluster de muy alta intensidad delictiva, baja recuperacion y predominio de motos",2.0
COPER,15212000,BOYACA,3,0,3,4,2,1.0,5.475074,-74.045636,1.3333333333333333,0.6666666666666666,Leve,Buena,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
CORDOBA,52215000,BOLIVAR,18,3,15,15,0,0.8333333333333334,0.854564,-77.517897,0.8333333333333334,0.0,Moderado,Mala,4,"Cluster de intensidad delictiva media, alta recuperacion y predominio de motos",5.0
CORDOBA,52215000,NARINO,153,22,131,113,19,0.865296803652968,0.854564,-77.517897,0.738562091503268,0.1241830065359477,Muy Alto,Mala,4,"Cluster de intensidad delictiva media, alta recuperacion y predominio de motos",5.0
CORDOBA,52215000,QUINDIO,18,4,14,9,4,0.8235294117647058,0.854564,-77.517897,0.5,0.2222222222222222,Moderado,Grave,4,"Cluster de intensidad delictiva media, alta recuperacion y predominio de motos",5.0
CORINTO,19212000,CAUCA,727,247,480,919,20,0.6514913657770801,3.173854,-76.261866,1.2640990371389271,0.0275103163686382,Muy Alto,Buena,2,"Cluster de muy alta intensidad delictiva, baja recuperacion y predominio de motos",2.0
COROMORO,68217000,SANTANDER,2,0,2,2,0,1.0,6.294999,-73.040816,1.0,0.0,Leve,Mala,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
COROZAL,70215000,SUCRE,527,23,504,212,48,0.9568788501026694,9.318749,-75.293048,0.4022770398481973,0.0910815939278937,Muy Alto,Grave,6,"Cluster de alta intensidad delictiva, recuperacion media y predominio de motos",3.0
CORRALES,15215000,BOYACA,8,1,7,5,0,0.875,5.828064,-72.844795,0.625,0.0,Leve,Grave,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
COTA,25214000,CUNDINAMARCA,154,85,69,93,16,0.4367816091954023,4.812564,-74.10256899999999,0.6038961038961039,0.1038961038961039,Muy Alto,Grave,0 (sub 1),"Cluster de intensidad delictiva media-alta, recuperacion media-baja y predominio de motos",4.0
COTORRA,23300000,CORDOBA,43,0,43,77,3,1.0,9.037163,-75.799216,1.7906976744186047,0.0697674418604651,Alto,Muy Buena,5,"Cluster de baja intensidad delictiva, recuperacion media-baja y predominio de motos",7.0
COVARACHIA,15218000,BOYACA,3,0,3,2,0,1.0,6.500176999999999,-72.738978,0.6666666666666666,0.0,Leve,Mala,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
COVENAS,70221000,SUCRE,98,2,96,44,9,0.9791666666666666,9.402779,-75.680158,0.4489795918367347,0.0918367346938775,Alto,Grave,5,"Cluster de baja intensidad delictiva, recuperacion media-baja y predominio de motos",7.0
COYAIMA,73217000,TOLIMA,153,19,134,86,13,0.8801369863013698,3.798036,-75.193862,0.5620915032679739,0.0849673202614379,Muy Alto,Grave,0 (sub 1),"Cluster de intensidad delictiva media-alta, recuperacion media-baja y predominio de motos",4.0
CRAVO NORTE,81220000,ARAUCA,17,4,13,21,2,0.7647058823529411,6.303913,-70.204286,1.2352941176470589,0.1176470588235294,Moderado,Buena,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
CUASPUD,52224000,NARINO,90,23,67,54,4,0.7440476190476191,0.862978,-77.728947,0.6,0.0444444444444444,Alto,Grave,4,"Cluster de intensidad delictiva media, alta recuperacion y predominio de motos",5.0
CUBARA,15223000,BOYACA,27,13,14,12,0,0.56,6.997275,-72.107939,0.4444444444444444,0.0,Moderado,Grave,3,"Cluster de baja intensidad delictiva, alta recuperacion y predominio de automotores",8.0
CUBARRAL,50223000,META,47,10,37,29,7,0.7976190476190477,3.793653,-73.837999,0.6170212765957447,0.1489361702127659,Alto,Grave,0 (sub 2),"Cluster de intensidad delictiva media, recuperacion alta y predominio de motos",6.0
CUCAITA,15224000,BOYACA,7,1,6,11,0,0.8571428571428571,5.544452,-73.454338,1.5714285714285714,0.0,Leve,Buena,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
CUCUNUBA,25224000,CUNDINAMARCA,32,3,29,25,0,0.9,5.249795,-73.766113,0.78125,0.0,Moderado,Mala,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
CUCUTA (CT),54001000,NORTE DE SANTANDER,10803,1642,9161,4568,1031,0.8289187173309885,7.905724999999999,-72.508178,0.4228455058779968,0.0954364528371748,Muy Alto,Grave,cluster_extremo,Cluster de ciudades principales con intensidad delictiva extrema,1.0
CUCUTILLA,54223000,NORTE DE SANTANDER,9,1,8,6,0,0.8888888888888888,7.539633,-72.772816,0.6666666666666666,0.0,Leve,Mala,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
CUITIVA,15226000,BOYACA,4,0,4,3,0,1.0,5.580367,-72.965923,0.75,0.0,Leve,Mala,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
CUMARAL,50226000,META,167,11,156,114,19,0.93125,4.270042,-73.487052,0.6826347305389222,0.1137724550898203,Muy Alto,Mala,0 (sub 1),"Cluster de intensidad delictiva media-alta, recuperacion media-baja y predominio de motos",4.0
CUMARIBO,99773000,VICHADA,25,1,24,79,2,0.96,4.446352,-69.795533,3.16,0.08,Moderado,Muy Buena,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
CUMBAL,52227000,NARINO,383,71,312,255,14,0.8139204545454546,0.906367,-77.792505,0.6657963446475196,0.0365535248041775,Muy Alto,Mala,2,"Cluster de muy alta intensidad delictiva, baja recuperacion y predominio de motos",2.0
CUMBITARA,52233000,NARINO,33,8,25,35,2,0.7580645161290323,1.647163,-77.578616,1.0606060606060606,0.0606060606060606,Moderado,Buena,4,"Cluster de intensidad delictiva media, alta recuperacion y predominio de motos",5.0
CUNDAY,73226000,TOLIMA,18,2,16,27,4,0.8888888888888888,4.059259,-74.692227,1.5,0.2222222222222222,Moderado,Buena,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
CURILLO,18205000,CAQUETA,26,0,26,31,2,1.0,1.033473,-75.91920500000002,1.1923076923076923,0.0769230769230769,Moderado,Buena,4,"Cluster de intensidad delictiva media, alta recuperacion y predominio de motos",5.0
CURITI,68229000,SANTANDER,15,3,12,14,1,0.8214285714285714,6.605099,-73.069383,0.9333333333333332,0.0666666666666666,Moderado,Mala,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
CURUMANI,20228000,CESAR,353,52,301,258,27,0.8461538461538461,9.201716,-73.540843,0.7308781869688386,0.0764872521246459,Muy Alto,Mala,6,"Cluster de alta intensidad delictiva, recuperacion media y predominio de motos",3.0
DABEIBA,5234000,ANTIOQUIA,72,4,68,105,5,0.9411764705882352,6.998112,-76.261614,1.4583333333333333,0.0694444444444444,Alto,Buena,5,"Cluster de baja intensidad delictiva, recuperacion media-baja y predominio de motos",7.0
DAGUA,76233000,VALLE,348,114,234,460,50,0.6728395061728395,3.657318,-76.68886,1.3218390804597702,0.1436781609195402,Muy Alto,Buena,2,"Cluster de muy alta intensidad delictiva, baja recuperacion y predominio de motos",2.0
DIBULLA,44090000,GUAJIRA,75,18,57,190,6,0.7567567567567568,11.27155,-73.307598,2.533333333333333,0.08,Alto,Muy Buena,5,"Cluster de baja intensidad delictiva, recuperacion media-baja y predominio de motos",7.0
DISTRACCION,44098000,GUAJIRA,119,49,70,59,18,0.5745614035087719,10.898414,-72.887405,0.4957983193277311,0.1512605042016806,Alto,Grave,6,"Cluster de alta intensidad delictiva, recuperacion media y predominio de motos",3.0
DOLORES,73236000,TOLIMA,15,0,15,30,0,1.0,3.539072,-74.896761,2.0,0.0,Moderado,Muy Buena,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
DON MATIAS,5237000,ANTIOQUIA,143,34,109,113,19,0.7761194029850746,6.485603,-75.39263,0.7902097902097902,0.1328671328671328,Alto,Mala,0 (sub 1),"Cluster de intensidad delictiva media-alta, recuperacion media-baja y predominio de motos",4.0
DOSQUEBRADAS,66170000,RISARALDA,1433,340,1093,858,113,0.7616853632478633,4.833131,-75.675371,0.5987438939288207,0.0788555478018143,Muy Alto,Grave,2,"Cluster de muy alta intensidad delictiva, baja recuperacion y predominio de motos",2.0
DUITAMA,15238000,BOYACA,247,94,153,244,35,0.6148936170212767,5.822964,-73.03063,0.9878542510121456,0.1417004048582996,Muy Alto,Mala,6,"Cluster de alta intensidad delictiva, recuperacion media y predominio de motos",3.0
DURANIA,54239000,NORTE DE SANTANDER,15,0,15,17,3,1.0,7.714804,-72.658491,1.1333333333333333,0.2,Moderado,Buena,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
EBEJICO,5240000,ANTIOQUIA,29,4,25,39,5,0.8518518518518519,6.325615,-75.766413,1.3448275862068966,0.1724137931034483,Moderado,Buena,5,"Cluster de baja intensidad delictiva, recuperacion media-baja y predominio de motos",7.0
EL AGUILA,76243000,VALLE,14,0,14,22,0,1.0,4.906062,-76.042779,1.5714285714285714,0.0,Moderado,Buena,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
EL BAGRE,5250000,ANTIOQUIA,208,5,203,123,4,0.9751243781094528,7.597500000000001,-74.799097,0.5913461538461539,0.0192307692307692,Muy Alto,Grave,5,"Cluster de baja intensidad delictiva, recuperacion media-baja y predominio de motos",7.0
EL BANCO,47245000,MAGDALENA,402,14,388,300,35,0.9642857142857144,9.008503,-73.97437,0.746268656716418,0.0870646766169154,Muy Alto,Mala,6,"Cluster de alta intensidad delictiva, recuperacion media y predominio de motos",3.0
EL CAIRO,76246000,VALLE,11,2,9,11,1,0.8181818181818182,4.760874,-76.221611,1.0,0.0909090909090909,Leve,Mala,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
EL CALVARIO,50245000,META,0,0,0,2,0,,4.352665,-73.713325,,,Leve,,,,
EL CANTON DEL SAN PABLO,27135000,CHOCO,1,0,1,4,0,1.0,5.335321,-76.726844,4.0,0.0,Leve,Muy Buena,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
EL CARMEN,54245000,NORTE DE SANTANDER,82,27,55,26,1,0.6753246753246753,8.510579,-73.446687,0.3170731707317073,0.0121951219512195,Alto,Grave,5,"Cluster de baja intensidad delictiva, recuperacion media-baja y predominio de motos",7.0
EL CARMEN DE ATRATO,27245000,CHOCO,35,8,27,28,7,0.7575757575757576,5.899789,-76.14211200000001,0.8,0.2,Moderado,Mala,0 (sub 2),"Cluster de intensidad delictiva media, recuperacion alta y predominio de motos",6.0
EL CARMEN DE BOLIVAR,13244000,BOLIVAR,322,20,302,263,17,0.9364820846905536,9.718653,-75.121178,0.8167701863354038,0.0527950310559006,Muy Alto,Mala,6,"Cluster de alta intensidad delictiva, recuperacion media y predominio de motos",3.0
EL CARMEN DE CHUCURI,68235000,SANTANDER,22,1,21,27,5,0.9473684210526316,6.700038,-73.51066,1.2272727272727273,0.2272727272727272,Moderado,Buena,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
EL CARMEN DE VIBORAL,5148000,ANTIOQUIA,435,53,382,202,28,0.8844555278470491,6.082885,-75.333901,0.464367816091954,0.064367816091954,Muy Alto,Grave,2,"Cluster de muy alta intensidad delictiva, baja recuperacion y predominio de motos",2.0
EL CASTILLO,50251000,META,49,5,44,25,2,0.9021739130434784,3.563907,-73.794225,0.5102040816326531,0.0408163265306122,Alto,Grave,0 (sub 2),"Cluster de intensidad delictiva media, recuperacion alta y predominio de motos",6.0
EL CERRITO,76248000,VALLE,720,101,619,360,44,0.857105538140021,3.684229,-76.311972,0.5,0.0611111111111111,Muy Alto,Grave,2,"Cluster de muy alta intensidad delictiva, baja recuperacion y predominio de motos",2.0
EL CHARCO,52250000,NARINO,0,0,0,5,1,,2.479688,-78.110217,,,Leve,,,,
EL COCUY,15244000,BOYACA,1,0,1,6,0,1.0,6.407738,-72.444537,6.0,0.0,Leve,Muy Buena,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
EL COLEGIO,25245000,CUNDINAMARCA,111,39,72,117,32,0.6542056074766355,4.577951,-74.442261,1.054054054054054,0.2882882882882883,Alto,Buena,0 (sub 1),"Cluster de intensidad delictiva media-alta, recuperacion media-baja y predominio de motos",4.0
EL COPEY,20238000,CESAR,147,29,118,131,6,0.8129496402877698,10.149883,-73.962703,0.891156462585034,0.0408163265306122,Alto,Mala,6,"Cluster de alta intensidad delictiva, recuperacion media y predominio de motos",3.0
EL DONCELLO,18247000,CAQUETA,192,7,185,92,8,0.9630681818181818,1.679951,-75.283631,0.4791666666666667,0.0416666666666666,Muy Alto,Grave,4,"Cluster de intensidad delictiva media, alta recuperacion y predominio de motos",5.0
EL DORADO,50270000,META,18,2,16,8,0,0.8888888888888888,3.739984,-73.835264,0.4444444444444444,0.0,Moderado,Grave,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
EL DOVIO,76250000,VALLE,24,2,22,29,3,0.9166666666666666,4.510452,-76.237084,1.2083333333333333,0.125,Moderado,Buena,4,"Cluster de intensidad delictiva media, alta recuperacion y predominio de motos",5.0
EL ESPINO,15248000,BOYACA,0,0,0,4,0,,6.483027,-72.497007,,,Leve,,,,
EL GUAMO,13248000,BOLIVAR,5,1,4,7,1,0.8,10.030958,-74.976084,1.4,0.2,Leve,Buena,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
EL LITORAL DEL SAN JUAN,27250000,CHOCO,1,0,1,0,0,1.0,4.259564,-77.363702,0.0,0.0,Leve,Grave,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
EL MOLINO,44110000,GUAJIRA,46,19,27,33,13,0.5795454545454546,10.653505,-72.92673,0.717391304347826,0.2826086956521739,Alto,Mala,5,"Cluster de baja intensidad delictiva, recuperacion media-baja y predominio de motos",7.0
EL PASO,20250000,CESAR,436,113,323,202,41,0.7462871287128713,9.668461,-73.742012,0.463302752293578,0.0940366972477064,Muy Alto,Grave,6,"Cluster de alta intensidad delictiva, recuperacion media y predominio de motos",3.0
EL PAUJIL,18256000,CAQUETA,159,21,138,80,15,0.8541666666666666,1.570226,-75.326093,0.5031446540880503,0.0943396226415094,Muy Alto,Grave,4,"Cluster de intensidad delictiva media, alta recuperacion y predominio de motos",5.0
EL PENOL,52254000,NARINO,30,12,18,87,4,0.5862068965517241,1.453567,-77.438522,2.9,0.1333333333333333,Moderado,Muy Buena,4,"Cluster de intensidad delictiva media, alta recuperacion y predominio de motos",5.0
EL PENON,25258000,BOLIVAR,2,0,2,7,0,1.0,5.248747,-74.290207,3.5,0.0,Leve,Muy Buena,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
EL PENON,25258000,CUNDINAMARCA,6,3,3,16,0,0.5,5.248747,-74.290207,2.6666666666666665,0.0,Leve,Muy Buena,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
EL PENON,25258000,SANTANDER,3,2,1,7,0,0.3333333333333333,5.248747,-74.290207,2.333333333333333,0.0,Leve,Muy Buena,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
EL PINON,47258000,MAGDALENA,12,1,11,36,0,0.9166666666666666,10.402781,-74.823094,3.0,0.0,Moderado,Muy Buena,5,"Cluster de baja intensidad delictiva, recuperacion media-baja y predominio de motos",7.0
EL PLAYON,68255000,SANTANDER,28,4,24,37,4,0.8518518518518519,7.470715,-73.20287,1.3214285714285714,0.1428571428571428,Moderado,Buena,5,"Cluster de baja intensidad delictiva, recuperacion media-baja y predominio de motos",7.0
EL RETEN,47268000,MAGDALENA,95,0,95,63,4,1.0,10.610488,-74.268444,0.6631578947368421,0.0421052631578947,Alto,Mala,5,"Cluster de baja intensidad delictiva, recuperacion media-baja y predominio de motos",7.0
EL RETORNO,95025000,GUAVIARE,42,5,37,31,4,0.868421052631579,2.330164,-72.627304,0.7380952380952381,0.0952380952380952,Moderado,Mala,0 (sub 2),"Cluster de intensidad delictiva media, recuperacion alta y predominio de motos",6.0
EL ROBLE,70233000,SUCRE,24,4,20,11,0,0.8333333333333334,9.100647,-75.198378,0.4583333333333333,0.0,Moderado,Grave,5,"Cluster de baja intensidad delictiva, recuperacion media-baja y predominio de motos",7.0
EL ROSAL,25260000,CUNDINAMARCA,91,53,38,35,6,0.4,4.850589,-74.263103,0.3846153846153846,0.0659340659340659,Alto,Grave,3,"Cluster de baja intensidad delictiva, alta recuperacion y predominio de automotores",8.0
EL ROSARIO,52256000,NARINO,43,10,33,90,0,0.7560975609756098,1.745309,-77.33417,2.0930232558139537,0.0,Alto,Muy Buena,4,"Cluster de intensidad delictiva media, alta recuperacion y predominio de motos",5.0
EL SANTUARIO,5697000,ANTIOQUIA,249,32,217,215,49,0.8630434782608696,6.136871,-75.265465,0.8634538152610441,0.1967871485943775,Muy Alto,Mala,6,"Cluster de alta intensidad delictiva, recuperacion media y predominio de motos",3.0
EL TABLON DE GOMEZ,52258000,NARINO,15,2,13,76,1,0.8571428571428571,1.427277,-77.097101,5.066666666666666,0.0666666666666666,Moderado,Muy Buena,4,"Cluster de intensidad delictiva media, alta recuperacion y predominio de motos",5.0
EL TAMBO,19256000,CAUCA,1035,151,884,624,13,0.850536398467433,2.451409,-76.810911,0.6028985507246377,0.0125603864734299,Muy Alto,Grave,2,"Cluster de muy alta intensidad delictiva, baja recuperacion y predominio de motos",2.0
EL TAMBO,19256000,NARINO,106,16,90,233,1,0.8415841584158416,2.451409,-76.810911,2.19811320754717,0.0094339622641509,Alto,Muy Buena,2,"Cluster de muy alta intensidad delictiva, baja recuperacion y predominio de motos",2.0
EL TARRA,54250000,NORTE DE SANTANDER,129,24,105,79,0,0.8130081300813008,8.574281,-73.09614,0.6124031007751938,0.0,Alto,Grave,5,"Cluster de baja intensidad delictiva, recuperacion media-baja y predominio de motos",7.0
EL ZULIA,54261000,NORTE DE SANTANDER,403,91,312,342,19,0.774641577060932,7.938572,-72.604717,0.8486352357320099,0.0471464019851116,Muy Alto,Mala,6,"Cluster de alta intensidad delictiva, recuperacion media y predominio de motos",3.0
ELIAS,41244000,HUILA,33,2,31,23,1,0.9375,2.012854,-75.93830100000001,0.696969696969697,0.0303030303030303,Moderado,Mala,4,"Cluster de intensidad delictiva media, alta recuperacion y predominio de motos",5.0
ENCINO,68264000,SANTANDER,0,0,0,2,0,,6.137429,-73.098749,,,Leve,,,,
ENCISO,68266000,SANTANDER,3,1,2,10,0,0.6666666666666666,6.668034,-72.699647,3.333333333333333,0.0,Leve,Muy Buena,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
ENTRERRIOS,5264000,ANTIOQUIA,67,13,54,40,7,0.7903225806451613,6.566273000000001,-75.517685,0.5970149253731343,0.1044776119402985,Alto,Grave,0 (sub 1),"Cluster de intensidad delictiva media-alta, recuperacion media-baja y predominio de motos",4.0
ENVIGADO,5266000,ANTIOQUIA,3272,1056,2216,1100,157,0.660166234159108,6.166695,-75.582192,0.3361858190709046,0.0479828850855745,Muy Alto,Grave,2,"Cluster de muy alta intensidad delictiva, baja recuperacion y predominio de motos",2.0
ESPINAL,73268000,TOLIMA,1189,64,1125,646,65,0.9444991789819376,4.151314,-74.885446,0.543313708999159,0.0546677880571909,Muy Alto,Grave,2,"Cluster de muy alta intensidad delictiva, baja recuperacion y predominio de motos",2.0
FACATATIVA,25269000,CUNDINAMARCA,728,236,492,419,47,0.6651929260450161,4.813353,-74.35008499999999,0.5755494505494505,0.0645604395604395,Muy Alto,Grave,2,"Cluster de muy alta intensidad delictiva, baja recuperacion y predominio de motos",2.0
FALAN,73270000,TOLIMA,21,3,18,23,2,0.8571428571428571,5.123104,-74.953007,1.0952380952380951,0.0952380952380952,Moderado,Buena,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
FILADELFIA,17272000,CALDAS,13,1,12,10,2,0.9230769230769232,5.297091,-75.562474,0.7692307692307693,0.1538461538461538,Moderado,Mala,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
FILANDIA,63272000,QUINDIO,47,11,36,61,8,0.7674418604651163,4.674338,-75.658387,1.297872340425532,0.1702127659574468,Alto,Buena,0 (sub 1),"Cluster de intensidad delictiva media-alta, recuperacion media-baja y predominio de motos",4.0
FIRAVITOBA,15272000,BOYACA,5,2,3,5,0,0.6,5.668885,-72.993392,1.0,0.0,Leve,Mala,3,"Cluster de baja intensidad delictiva, alta recuperacion y predominio de automotores",8.0
FLANDES,73275000,TOLIMA,225,20,205,137,10,0.9061032863849764,4.276373,-74.818763,0.6088888888888889,0.0444444444444444,Muy Alto,Grave,0 (sub 1),"Cluster de intensidad delictiva media-alta, recuperacion media-baja y predominio de motos",4.0
FLORENCIA,19290000,CAUCA,40,8,32,79,2,0.7948717948717948,1.682535,-77.072547,1.975,0.05,Moderado,Muy Buena,4,"Cluster de intensidad delictiva media, alta recuperacion y predominio de motos",5.0
FLORENCIA (CT),18001000,CAQUETA,2538,54,2484,1354,272,0.9773425499231952,1.618196,-75.609831,0.5334909377462569,0.107171000788022,Muy Alto,Grave,2,"Cluster de muy alta intensidad delictiva, baja recuperacion y predominio de motos",2.0
FLORESTA,15276000,BOYACA,2,0,2,3,0,1.0,5.859519,-72.918111,1.5,0.0,Leve,Buena,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
FLORIAN,68271000,SANTANDER,4,0,4,6,0,1.0,5.804659,-73.97143,1.5,0.0,Leve,Buena,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
FLORIDA,76275000,VALLE,1195,152,1043,493,64,0.8738185255198487,3.3241180000000004,-76.234199,0.4125523012552301,0.0535564853556485,Muy Alto,Grave,2,"Cluster de muy alta intensidad delictiva, baja recuperacion y predominio de motos",2.0
FLORIDABLANCA,68276000,SANTANDER,2379,109,2270,1009,258,0.9528145695364238,7.072329,-73.099104,0.4241277847835225,0.1084489281210592,Muy Alto,Grave,6,"Cluster de alta intensidad delictiva, recuperacion media y predominio de motos",3.0
FOMEQUE,25279000,CUNDINAMARCA,15,6,9,36,6,0.6,4.485474,-73.892523,2.4,0.4,Moderado,Muy Buena,3,"Cluster de baja intensidad delictiva, alta recuperacion y predominio de automotores",8.0
FONSECA,44279000,GUAJIRA,791,121,670,356,61,0.852773826458037,10.886734,-72.846319,0.450063211125158,0.0771175726927939,Muy Alto,Grave,6,"Cluster de alta intensidad delictiva, recuperacion media y predominio de motos",3.0
FORTUL,81300000,ARAUCA,148,97,51,39,3,0.374031007751938,6.796695,-71.76877,0.2635135135135135,0.0202702702702702,Muy Alto,Grave,3,"Cluster de baja intensidad delictiva, alta recuperacion y predominio de automotores",8.0
FOSCA,25281000,CUNDINAMARCA,9,2,7,12,2,0.8571428571428571,4.339093,-73.93902,1.3333333333333333,0.2222222222222222,Leve,Buena,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
FRANCISCO PIZARRO,52520000,NARINO,0,0,0,2,0,,2.040629,-78.658361,,,Leve,,,,
FREDONIA,5282000,ANTIOQUIA,68,11,57,92,16,0.8382352941176471,5.928039,-75.675072,1.3529411764705883,0.2352941176470588,Alto,Buena,0 (sub 1),"Cluster de intensidad delictiva media-alta, recuperacion media-baja y predominio de motos",4.0
FRESNO,73283000,TOLIMA,111,7,104,205,11,0.9369369369369368,5.153576,-75.035722,1.8468468468468469,0.0990990990990991,Alto,Muy Buena,0 (sub 1),"Cluster de intensidad delictiva media-alta, recuperacion media-baja y predominio de motos",4.0
FRONTINO,5284000,ANTIOQUIA,45,1,44,93,4,0.9772727272727272,6.776066,-76.130765,2.066666666666667,0.0888888888888888,Alto,Muy Buena,5,"Cluster de baja intensidad delictiva, recuperacion media-baja y predominio de motos",7.0
FUENTE DE ORO,50287000,META,128,20,108,63,7,0.8458333333333333,3.462875,-73.618121,0.4921875,0.0546875,Alto,Grave,0 (sub 1),"Cluster de intensidad delictiva media-alta, recuperacion media-baja y predominio de motos",4.0
FUNDACION,47288000,MAGDALENA,639,37,602,548,63,0.940068493150685,10.514146,-74.191453,0.8575899843505478,0.0985915492957746,Muy Alto,Mala,6,"Cluster de alta intensidad delictiva, recuperacion media y predominio de motos",3.0
FUNES,52287000,NARINO,10,0,10,16,0,1.0,1.001159,-77.448913,1.6,0.0,Leve,Buena,4,"Cluster de intensidad delictiva media, alta recuperacion y predominio de motos",5.0
